Time,Reference,Angle,Reference,Angle
15.47269,-321.871654,-321.768901,-471.315472,-471.151632
15.48288,-321.871654,-321.768901,-471.315472,-471.151632
15.49297,-321.871654,-321.768901,-471.315472,-471.151632
15.50314,-321.871654,-321.768901,-471.315472,-471.151632
15.51328,-321.871654,-321.768901,-471.315472,-471.151632
15.52345,-321.871654,-321.768901,-471.315472,-471.151632
15.53371,-321.871654,-321.768901,-471.315472,-471.151632
15.54384,-321.871654,-321.768901,-471.315472,-471.151632
15.55397,-321.871654,-321.768901,-471.315472,-471.151632
15.56421,-321.871654,-321.768901,-471.315472,-471.151632
15.57428,-321.871654,-321.768901,-471.315472,-471.151632
15.58443,-321.871654,-321.768901,-471.315472,-471.151632
15.59462,-321.871654,-321.768901,-471.315472,-471.151632
15.60476,-321.871654,-321.768901,-471.315472,-471.151632
15.61489,-321.871654,-321.768901,-471.315472,-471.151632
15.62506,-321.871654,-321.768901,-471.315472,-471.151632
15.63542,-321.871654,-321.768901,-471.315472,-471.151632
15.64562,-321.871654,-321.768901,-471.315472,-471.151632
15.65552,-321.871654,-321.768901,-471.315472,-471.160358
15.66567,-321.871654,-321.768901,-471.315472,-471.160358
15.67586,-321.871654,-321.768901,-471.315472,-471.169085
15.68595,-321.871654,-321.768901,-471.315472,-471.177812
15.69613,-321.871654,-321.768901,-471.315472,-471.186538
15.70627,-321.871654,-321.768901,-471.315472,-471.195265
15.71648,-321.871654,-321.768901,-471.315472,-471.203991
15.72662,-321.871654,-321.768901,-471.315472,-471.212718
15.73708,-321.871654,-321.768901,-471.315472,-471.221445
15.74722,-321.871654,-321.768901,-471.315472,-471.221445
15.75744,-321.871654,-321.768901,-471.315472,-471.221445
15.76755,-321.871654,-321.768901,-471.315472,-471.230171
15.77769,-321.871654,-321.768901,-471.315472,-471.230171
15.78784,-321.871654,-321.768901,-471.315472,-471.238898
15.79799,-321.871654,-321.768901,-471.315472,-471.238898
15.80813,-321.871654,-321.768901,-471.315472,-471.238898
15.81827,-321.871654,-321.777628,-471.315472,-471.238898
15.82846,-321.871654,-321.777628,-471.315472,-471.238898
15.83859,-321.871654,-321.777628,-471.315472,-471.238898
15.84871,-321.871654,-321.786354,-471.315472,-471.238898
15.85935,-321.871654,-321.786354,-471.315472,-471.238898
15.86911,-321.871654,-321.795081,-471.315472,-471.238898
